,Year,Media,Title,Released,Consumed
1142,0 ABY,C,Darth Vader (2015) 8,2015-08-05,False
1143,0 ABY,C,Darth Vader (2015) 9,2015-09-09,False
1144,0 ABY,C,Darth Vader (2015) 10,2015-10-07,False
1145,0 ABY,C,Darth Vader (2015) 11,2015-10-21,False
1146,0 ABY,C,Darth Vader (2015) 12,2015-11-11,False
1147,0 ABY,C,Darth Vader Annual 1,2015-12-16,False
1148,0 ABY,C,"""Rogue's Gambit"" — A New Legacy 1 ",2025-01-29,False
1149,0 ABY,C,Vader Down 1,2015-11-18,False
1150,0 ABY,C,Darth Vader (2015) 13,2015-11-25,False
1151,0 ABY,C,Star Wars (2015) 13,2015-12-02,False
1152,0 ABY,C,Darth Vader (2015) 14,2015-12-23,False
1153,0 ABY,C,Star Wars (2015) 14,2016-01-06,False
1154,0 ABY,C,Darth Vader (2015) 15,2016-01-06,False
1155,0 ABY,C,Star Wars (2015) 16,2016-02-17,False
1156,0 ABY,C,Star Wars (2015) 17,2016-03-23,False
1157,0 ABY,C,Star Wars (2015) 18,2016-04-27,False
1158,0 ABY,C,Star Wars (2015) 19,2016-05-25,False
1159,0 ABY,C,Darth Vader (2015) 16,2016-02-10,False
1160,0 ABY,C,Darth Vader (2015) 17,2016-03-02,False
1161,0 ABY,C,Darth Vader (2015) 18,2016-03-30,False
1162,0 ABY,C,Darth Vader (2015) 19,2016-04-13,False
1163,0 ABY,C,Darth Vader (2015) 20,2016-05-11,False
1164,0 ABY,C,"""The Misadventures of Triple-Zero and Beetee"" — Darth Vader (2015) 20",2016-05-11,False
1165,0 ABY,C,Darth Vader (2015) 21,2016-06-08,False
1166,0 ABY,C,Darth Vader (2015) 22,2016-06-29,False
1167,0 ABY,C,Darth Vader (2015) 23,2016-07-20,False
1168,0 ABY,C,Darth Vader (2015) 24,2016-08-10,False
1169,0 ABY,C,Darth Vader (2015) 25,2016-10-12,False
1170,,C,"""Diplomatic Impunity"" — Darth Vader – Black, White & Red 3 ",2023-06-28,False
1171,,C,"""Droid Dilemma"" — Star Wars (2015) 25 ",2016-11-23,False
1172,0 ABY,C,Star Wars (2015) 21,2016-07-20,False
1173,0 ABY,C,Star Wars (2015) 22,2016-08-24,False
1174,0 ABY,C,Star Wars (2015) 23,2016-09-28,False
1175,0 ABY,C,Star Wars (2015) 24,2016-10-26,False
1176,0 ABY,C,Star Wars (2015) 25,2016-11-23,False
1177,0 ABY,C,Star Wars (2015) 26,2016-12-28,False
1178,0 ABY,C,Star Wars (2015) 27,2017-01-25,False
1179,0 ABY,C,Star Wars (2015) 28,2017-02-01,False
1180,0 ABY,C,Star Wars (2015) 29,2017-03-01,False
1181,0 ABY,C,Star Wars (2015) 30,2017-04-05,False
1182,0 ABY,C,Star Wars Annual (2015) 2,2016-11-30,False
1183,0 ABY,C,Doctor Aphra (2016) 1 ,2016-12-07,False
1184,0 ABY,C,Doctor Aphra (2016) 2 ,2016-12-21,False
1185,0 ABY,C,Doctor Aphra (2016) 3 ,2017-01-18,False
1186,0 ABY,C,Doctor Aphra (2016) 4 ,2017-02-08,False
1187,0 ABY,C,Doctor Aphra (2016) 5 ,2017-03-08,False
1188,0 ABY,C,Doctor Aphra (2016) 6 ,2017-04-12,False
1189,0 ABY,C,The Screaming Citadel 1,2017-05-10,False
1190,0 ABY,C,Star Wars (2015) 31,2017-05-17,False
1191,0 ABY,C,Doctor Aphra (2016) 7,2017-05-31,False
1192,0 ABY,C,Star Wars (2015) 32,2017-06-14,False
1193,0 ABY,C,Doctor Aphra (2016) 8,2017-06-28,False
1194,0 ABY,C,Star Wars (2015) 33,2017-07-05,False
1195,1 ABY,C,"""The Trouble at Tibrin"" — Star Wars Adventures (2017) 4 ",2017-11-29,False
1196,1 ABY,C,"""The Trouble at Tibrin, Part II"" — Star Wars Adventures (2017) 5 ",2017-12-27,False
1197,1 ABY,C,"""Mind Your Manners"" — Star Wars Adventures Annual 2018",2018-04-18,False
1198,1 ABY,C,Star Wars (2015) 34,2017-08-16,False
1199,1 ABY,C,Star Wars (2015) 35,2017-08-30,False
1200,1 ABY,C,Star Wars (2015) 36,2017-09-13,False
1201,0–1 ABY,C,Star Wars Annual (2015) 3 ,2017-09-20,False
1202,0–1 ABY,C,"""Shu-Torun Lives"" — Star Wars (2015) 50 ",2018-07-04,False
1203,1 ABY,C,Star Wars (2015) 37,2017-10-04,False
1204,1 ABY,C,Doctor Aphra Annual 1 ,2017-08-23,False
1205,1 ABY,C,Doctor Aphra (2016) 9 ,2017-07-12,False
1206,1 ABY,C,Doctor Aphra (2016) 10 ,2017-07-26,False
1207,1 ABY,C,Doctor Aphra (2016) 11 ,2017-08-09,False
1208,1 ABY,C,Doctor Aphra (2016) 12 ,2017-09-13,False
1209,1 ABY,C,Doctor Aphra (2016) 13 ,2017-10-11,False
1210,1 ABY,C,Doctor Aphra Annual 2 ,2018-09-05,False
1211,1 ABY,C,Doctor Aphra (2016) 14 ,2017-11-15,False
1212,1 ABY,C,Doctor Aphra (2016) 15 ,2017-12-20,False
1213,1 ABY,C,Doctor Aphra (2016) 16 ,2018-01-31,False
1214,1 ABY,C,Doctor Aphra (2016) 17 ,2018-02-21,False
1215,1 ABY,C,Doctor Aphra (2016) 18 ,2018-03-28,False
1216,1 ABY,C,Doctor Aphra (2016) 19 ,2018-04-25,False
1217,1 ABY,C,Doctor Aphra (2016) 20 ,2018-05-23,False
1218,1 ABY,C,Doctor Aphra (2016) 21 ,2018-06-27,False
1219,1 ABY,C,Doctor Aphra (2016) 22 ,2018-07-25,False
1220,1 ABY,C,Doctor Aphra (2016) 23 ,2018-08-22,False
1221,1 ABY,C,Doctor Aphra (2016) 24 ,2018-09-26,False
1222,1 ABY,C,Doctor Aphra (2016) 25 ,2018-10-24,False
1223,1 ABY,C,Doctor Aphra (2016) 26 ,2018-11-14,False
1224,1 ABY,C,Doctor Aphra (2016) 27 ,2018-12-12,False
1225,1 ABY,C,Doctor Aphra (2016) 28 ,2019-01-30,False
1226,1 ABY,C,Doctor Aphra (2016) 29 ,2019-02-27,False
1227,1 ABY,C,Doctor Aphra (2016) 30 ,2019-03-27,False
1228,1 ABY,C,Doctor Aphra (2016) 31 ,2019-04-24,False
1229,1 ABY,C,Star Wars (2015) 38,2017-11-08,False
1230,1 ABY,C,Star Wars (2015) 39,2017-11-22,False
1231,1 ABY,C,Star Wars (2015) 40,2017-12-13,False
1232,1 ABY,C,Star Wars (2015) 41,2018-01-03,False
1233,1 ABY,C,Star Wars (2015) 42,2018-01-17,False
1234,1 ABY,C,Star Wars (2015) 43,2018-02-07,False
1235,1 ABY,C,The Last Jedi – The Storms of Crait 1 ,2017-12-27,False
1236,1 ABY,C,Star Wars (2015) 44,2018-03-07,False
1237,1 ABY,C,Star Wars (2015) 45,2018-03-21,False
1238,1 ABY,C,Star Wars (2015) 46,2018-04-04,False
1239,1 ABY,C,Star Wars (2015) 47,2018-05-02,False
1240,1 ABY,C,Star Wars (2015) 48,2018-05-23,False
1241,1 ABY,C,Star Wars (2015) 49,2018-06-06,False
1242,1 ABY,C,Star Wars (2015) 50,2018-07-04,False
1243,1 ABY,C,Star Wars (2015) 51,2018-07-18,False
1244,1 ABY,C,Star Wars (2015) 52,2018-08-01,False
1245,1 ABY,C,Star Wars (2015) 53,2018-09-05,False
1246,1 ABY,C,Star Wars (2015) 54,2018-09-19,False
1247,1 ABY,C,Star Wars (2015) 55,2018-10-03,False
1248,2 ABY,C,Star Wars (2015) 56,2018-11-07,False
1249,2 ABY,C,Star Wars (2015) 57,2018-11-21,False
1250,2 ABY,C,Star Wars (2015) 58,2018-12-05,False
1251,2 ABY,C,Star Wars (2015) 59,2019-01-09,False
1252,2 ABY,C,Star Wars (2015) 60,2019-01-23,False
1253,2 ABY,C,Star Wars (2015) 61,2019-02-06,False
1254,2 ABY,C,Star Wars (2015) 62,2019-03-06,False
1255,2 ABY,C,Star Wars (2015) 63,2019-03-20,False
1256,2 ABY,C,Star Wars (2015) 64,2019-04-03,False
1257,2 ABY,C,Star Wars (2015) 65,2019-05-01,False
1258,2 ABY,C,Star Wars (2015) 66,2019-05-15,False
1259,2 ABY,C,Star Wars (2015) 67,2019-06-19,False
1260,,C,"""For the Love of the Empire"" — A New Legacy 1 ",2025-01-29,False
1261,2 ABY,C,Age of Rebellion - Lando Calrissian 1,2019-05-15,False
1262,2 ABY,C,Age of Rebellion - Jabba the Hutt 1,2019-05-22,False
1263,,C,Hyperspace Stories 2 ,2022-09-21,False
1264,2 ABY,C,Star Wars (2015) 68,2019-07-10,False
1265,2 ABY,C,Star Wars (2015) 69,2019-07-24,False
1266,2 ABY,C,Star Wars (2015) 70,2019-08-07,False
1267,2 ABY,C,Star Wars (2015) 71,2019-09-04,False
1268,2 ABY,C,Star Wars (2015) 72,2019-10-02,False
1269,2 ABY,C,Star Wars (2015) 73,2019-10-23,False
1270,2 ABY,C,Star Wars (2015) 74 ,2019-11-13,False
1271,2 ABY,C,Star Wars (2015) 75 ,2019-11-20,False
1272,2 ABY,C,Doctor Aphra (2016) 32 ,2019-05-08,False
1273,2 ABY,C,Doctor Aphra (2016) 33 ,2019-06-19,False
1274,2 ABY,C,Doctor Aphra (2016) 34 ,2019-07-17,False
1275,2 ABY,C,Doctor Aphra (2016) 35 ,2019-08-21,False
1276,2 ABY,C,Doctor Aphra (2016) 36 ,2019-09-18,False
1277,3 ABY,C,Doctor Aphra Annual 3,2019-10-30,False
1278,3 ABY,C,Doctor Aphra (2016) 37 ,2019-10-02,False
1279,3 ABY,C,Doctor Aphra (2016) 38 ,2019-11-06,False
1280,3 ABY,C,Doctor Aphra (2016) 39 ,2019-11-27,False
1281,3 ABY,C,Doctor Aphra (2016) 40 ,2019-12-11,False
1282,3 ABY,C,"""",2019-12-18,False
1283,3 ABY,C,"""An Echo of Victory"" — Empire Ascendant 1",2019-12-18,False
1284,3 ABY,TV,"Star Wars Forces of Destiny — ""Beasts of Echo Base""",2017-07-07,False
1285,,C,"""Gift of Light"" — Life Day 1 ",2021-11-24,False
1286,,C,"""Squad Goals, Part One"" — Star Wars Adventures (2020) 11 ",2021-10-20,False
1287,,C,"""Squad Goals, Part 2"" — Star Wars Adventures (2020) 12 ",2021-11-24,False
1288,,C,Age of Rebellion - Boba Fett 1 ,2019-05-08,False
1289,,C,Hyperspace Stories 7 ,2023-08-02,False
1290,,C,"""Tales of Villainy: Done Dirty"" — Star Wars Adventures (2020) 11 ",2021-10-20,False
1291,,A,Choose Your Destiny: An Escape Mission ,2019-07-XX,False
1292,,C,"""The Coin"" — Star Wars Adventures Annual 2021 ",2021-11-24,False
1293,,A,Choose Your Destiny: A Smuggler Mission ,2019-07-XX,False
1294,3 ABY,C,"""A Matter Of Perception"" — Star Wars Adventures (2017) 22 ",2019-06-05,False
1295,,C,"""A Rebel Bounty"" — Star Wars Adventures Annual 2020 ",2020-11-18,False
1296,,C,"""Tales of Villainy: A Last Chapter"" — Star Wars Adventures (2020) 13 ",2021-12-29,False
1297,3 ABY,N,Battlefront: Twilight Company,2015-11-03,False
1298,,C,"""In Service to the Empire"" — Empire Ascendant 1 ",2019-12-18,False
1299,,C,"""Two Sides to Every Sortie"" — Empire Ascendant 1 ",2019-12-18,False
1300,,C,"""In the Lair of the Dragon Slug"" — Tales from the Rancor Pit ",2022-11-23,False
1301,3 ABY,C,Forces of Destiny—Leia ,2018-01-03,False
1302,,C,Yoda 1 ,2022-11-23,False
1303,,C,Yoda 2 ,2022-12-28,False
1304,,C,Yoda 3 ,2023-01-25,False
1305,,C,Yoda 4 ,2023-02-22,False
1306,,C,Yoda 5 ,2023-03-15,False
1307,,C,Yoda 6 ,2023-04-19,False
1308,,C,Yoda 7 ,2023-05-03,False
1309,,C,Yoda 8 ,2023-06-07,False
1310,,C,Yoda 9 ,2023-07-05,False
1311,,C,Yoda 10 ,2023-08-02,False
1312,3 ABY,F,Star Wars: Episode V The Empire Strikes Back,1980-05-21,False
1313,3 ABY,JR,The Empire Strikes Back: So You Want to Be a Jedi?,2015-09-22,False
1314,3 ABY,JR,Star Wars: The Empire Strikes Back junior novelization,2017-05-04,False
1315,3 ABY,JR,L'Empire contre-attaque - Le roman du film,2015-09-09,False
1316,3 ABY,JR,L'Empire contre-attaque junior novelization,2017-09-20,False
1317,3 ABY,C,Star Wars: The Empire Strikes Back Screen Comix,2020-10-27,False
1318,3 ABY,C,Star Wars: The Empire Strikes Back Graphic Novel Adaptation,2019-03-05,False
1319,3 ABY,C,"Star Wars: Chapter 15: ""Suffering""",2015-11-12,False
1320,3 ABY,C,"Star Wars: Chapter 16: ""Strike""",2015-11-15,False
1321,3 ABY,C,"Star Wars: Chapter 17: ""Retreat""",2015-11-19,False
1322,3 ABY,C,"Star Wars: Chapter 18: ""Dagobah""",2015-11-22,False
1323,3 ABY,C,"Star Wars: Chapter 19: ""Master Yoda""",2015-11-26,False
1324,3 ABY,C,"Star Wars: Chapter 20: ""Training""",2015-11-29,False
1325,3 ABY,C,"Star Wars: Chapter 21: ""Dark Side of the Force""",2015-12-03,False
1326,3 ABY,C,"Star Wars: Chapter 22: ""Calling""",2015-12-06,False
1327,3 ABY,C,"Star Wars: Chapter 23: ""Trap""",2015-12-10,False
1328,3 ABY,C,"Star Wars: Chapter 24: ""Unprepared Duel""",2015-12-13,False
1329,3 ABY,C,"Star Wars: Chapter 25: ""The Cruel Truth""",2015-12-17,False
1330,3 ABY,C,"Star Wars: Chapter 26: ""Choice""",2015-12-20,False
1331,3 ABY,C,"Star Wars: Chapter 27: ""Determination""",2015-12-24,False
1332,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Luke vs. the Wampa - Cavern Escape""",2018-11-30,False
1333,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Darth Vader vs. Hoth Rebels - Crushing the Rebellion""",2019-05-17,False
1334,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Battle of Hoth""",2020-05-21,False
1335,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Luke vs. Imperial Walkers - Commander on Hoth""",2019-03-22,False
1336,3 ABY,C,"""Tales of Villainy: Invasion of Echo Base"" — Star Wars Adventures (2020) 1",2020-10-07,False
1337,3 ABY,C,"""The Trial of Dagobah"" — Age of Rebellion Special 1",2019-04-17,False
1338,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Han Solo vs. the Space Slug - The Escape Artist""",2019-04-05,False
1339,3 ABY,C,"""The Dragonsnake Saves R2-D2"" — From a Certain Point of View: The Empire Strikes Back",2020-11-10,False
1340,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Luke Skywalker Trains with Master Yoda""",2020-05-28,False
1341,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Yoda – The Jedi Master""",2019-03-16,False
1342,3 ABY,TV,"Star Wars Forces of Destiny — ""The Path Ahead""",2018-03-19,False
1343,3 ABY,VG,Star Wars: Yoda's Jedi Training,2016-02-23,False
1344,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Boba Fett - The Bounty Hunter""",2019-06-21,False
1345,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Rendezvous at Bespin""",2020-06-11,False
1346,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Clash on Cloud City""",2020-06-12,False
1347,3 ABY,TV,"Star Wars Galaxy of Adventures — ""Luke Skywalker vs. Darth Vader – Join Me""",2019-01-18,False
1348,3 ABY,C,Darth Vader (2020) 1,2020-02-05,False
1349,3 ABY,C,Star Wars (2020) 1,2020-01-01,False
1350,3 ABY,C,Star Wars (2020) 2,2020-01-29,False
1351,3 ABY,C,Star Wars (2020) 3,2020-02-26,False
1352,3 ABY,C,Star Wars (2020) 4,2020-03-18,False
1353,3 ABY,C,Star Wars (2020) 5,2020-08-05,False
1354,3 ABY,C,Star Wars (2020) 6,2020-09-16,False
1355,3 ABY,C,Darth Vader (2020) 2,2020-03-11,False
1356,3 ABY,C,Darth Vader (2020) 3,2020-07-29,False
1357,3 ABY,C,Darth Vader (2020) 4,2020-08-12,False
1358,3 ABY,C,Darth Vader (2020) 5,2020-09-16,False
1359,3 ABY,C,Darth Vader (2020) 6,2020-10-14,False
1360,3 ABY,C,Darth Vader (2020) 7,2020-11-11,False
1361,3 ABY,C,Darth Vader (2020) 8,2020-12-16,False
1362,3 ABY,C,Darth Vader (2020) 9,2021-01-13,False
1363,3 ABY,C,Darth Vader (2020) 10,2021-02-10,False
1364,3 ABY,C,Darth Vader (2020) 11,2021-04-28,False
1365,3 ABY,C,Bounty Hunters 1,2020-03-11,False
1366,3 ABY,C,Bounty Hunters 2,2020-03-25,False
1367,3 ABY,C,Bounty Hunters 3,2020-06-24,False
1368,3 ABY,C,Bounty Hunters 4,2020-08-19,False
1369,3 ABY,C,Bounty Hunters 5,2020-09-23,False
1370,3 ABY,C,Bounty Hunters 6,2020-10-21,False
1371,3 ABY,C,Star Wars (2020) 7,2020-10-07,False
1372,3 ABY,C,Star Wars (2020) 8,2020-11-04,False
1373,3 ABY,C,Bounty Hunters 7,2020-11-18,False
1374,3 ABY,C,Star Wars (2020) 9,2020-12-09,False
1375,3 ABY,C,Star Wars (2020) 10,2021-01-06,False
1376,3 ABY,C,Star Wars (2020) 11,2021-02-03,False
1377,3 ABY,C,Star Wars (2020) 12,2021-03-10,False
1378,3 ABY,C,Doctor Aphra (2020) 1,2020-05-04,False
1379,3 ABY,C,Doctor Aphra (2020) 2,2020-07-22,False
1380,3 ABY,C,Doctor Aphra (2020) 3,2020-08-26,False
1381,3 ABY,C,Doctor Aphra (2020) 4,2020-09-30,False
1382,3 ABY,C,Doctor Aphra (2020) 5,2020-10-28,False
1383,3 ABY,C,Doctor Aphra (2020) 6,2020-11-25,False
1384,3 ABY,C,Doctor Aphra (2020) 7,2021-01-20,False
1385,3 ABY,C,Doctor Aphra (2020) 8,2021-03-24,False
1386,3 ABY,C,Doctor Aphra (2020) 9,2021-04-21,False
1387,3 ABY,C,Doctor Aphra (2020) 10,2021-05-26,False
1388,3 ABY,C,Bounty Hunters 8,2020-12-23,False
1389,3 ABY,C,Bounty Hunters 9,2021-01-27,False
1390,3 ABY,C,Bounty Hunters 10,2021-03-17,False
1391,3 ABY,C,War of the Bounty Hunters Alpha 1,2021-05-05,False
1392,3 ABY,C,Star Wars (2020) 13,2021-05-12,False
1393,3 ABY,C,War of the Bounty Hunters – Jabba the Hutt 1,2021-07-21,False
1394,3 ABY,C,Bounty Hunters 11,2021-04-14,False
1395,3 ABY,C,Bounty Hunters 12,2021-05-19,False
1396,3 ABY,C,War of the Bounty Hunters 1,2021-06-02,False
1397,3 ABY,C,War of the Bounty Hunters – 4-LOM & Zuckuss 1,2021-08-04,False
1398,3 ABY,C,Bounty Hunters 13,2021-06-09,False
1399,3 ABY,C,Star Wars (2020) 14,2021-06-16,False
1400,3 ABY,C,Darth Vader (2020) 12,2021-05-26,False
1401,3 ABY,C,Star Wars (2020) 15,2021-07-28,False
1402,3 ABY,C,Darth Vader (2020) 14,2021-07-21,False
1403,3 ABY,C,Darth Vader (2020) 13,2021-06-23,False
1404,3 ABY,C,Doctor Aphra (2020) 11,2021-06-30,False
1405,3 ABY,C,Bounty Hunters 14,2021-07-07,False
1406,3 ABY,C,Bounty Hunters 15,2021-08-04,False
1407,3 ABY,C,Darth Vader (2020) 15,2021-08-25,False
1408,3 ABY,C,War of the Bounty Hunters 2,2021-07-14,False
1409,3 ABY,C,Doctor Aphra (2020) 12,2021-07-14,False
1410,3 ABY,C,Bounty Hunters 16,2021-09-22,False
1411,3 ABY,C,Doctor Aphra (2020) 13,2021-08-25,False
1412,3 ABY,C,War of the Bounty Hunters 3,2021-08-18,False
1413,3 ABY,C,Star Wars (2020) 16,2021-08-18,False
1414,3 ABY,C,Doctor Aphra (2020) 14,2021-09-08,False
1415,3 ABY,C,Darth Vader (2020) 16,2021-09-15,False
1416,3 ABY,C,War of the Bounty Hunters 4,2021-09-08,False
1417,3 ABY,C,Star Wars (2020) 17,2021-09-29,False
1418,3 ABY,C,War of the Bounty Hunters 5,2021-10-13,False
1419,3 ABY,C,Darth Vader (2020) 17,2021-10-27,False
1420,3 ABY,C,Bounty Hunters 17,2021-11-03,False
1421,3 ABY,C,Doctor Aphra (2020) 15,2021-10-13,False
1422,3 ABY,C,War of the Bounty Hunters – IG-88 1,2021-10-27,False
1423,3 ABY,C,Star Wars (2020) 18,2021-11-03,False
1424,3 ABY,C,War of the Bounty Hunters – Boushh 1,2021-09-15,False
1425,3 ABY,C,Crimson Reign 1 ,2021-12-08,False
1426,,C,Star Wars (2020) 19 ,2021-12-08,False
1427,,C,Star Wars (2020) 20 ,2022-01-12,False
1428,,C,Doctor Aphra (2020) 16 ,2021-11-17,False
1429,,C,Doctor Aphra (2020) 17 ,2022-01-05,False
1430,,C,Doctor Aphra (2020) 18 ,2022-01-19,False
1431,,C,Bounty Hunters 18 ,2021-12-01,False
1432,,C,Bounty Hunters 19 ,2021-12-29,False
1433,,C,Bounty Hunters 20 ,2022-01-12,False
1434,,C,Star Wars (2020) 21 ,2022-03-02,False
1435,,C,Crimson Reign 2 ,2022-02-02,False
1436,,C,Star Wars (2020) 22 ,2022-04-13,False
1437,,C,Star Wars (2020) 23 ,2022-05-04,False
1438,,C,Star Wars (2020) 24 ,2022-06-08,False
1439,,C,Crimson Reign 3 ,2022-03-09,False
1440,,C,Crimson Reign 4 ,2022-04-27,False
1441,,C,Darth Vader (2020) 18 ,2021-12-01,False
1442,,C,Darth Vader (2020) 19 ,2021-12-22,False
1443,,C,Darth Vader (2020) 20 ,2022-02-09,False
1444,,C,Darth Vader (2020) 21 ,2022-03-23,False
1445,,C,Darth Vader (2020) 22 ,2022-04-13,False
1446,,C,Darth Vader (2020) 23 ,2022-06-01,False
1447,,C,Darth Vader (2020) 24 ,2022-06-29,False
1448,,C,Darth Vader (2020) 25 ,2022-07-20,False
1449,,C,Darth Vader (2020) 26 ,2022-08-24,False
1450,,C,Darth Vader (2020) 27 ,2022-09-21,False
1451,,C,Darth Vader (2020) 28 ,2022-10-19,False
1452,,C,Bounty Hunters 21 ,2022-03-30,False
1453,,C,Bounty Hunters 22 ,2022-04-06,False
1454,,C,Bounty Hunters 23 ,2022-06-01,False
1455,,C,Bounty Hunters 24 ,2022-06-15,False
1456,,C,Bounty Hunters 25 ,2022-07-13,False
1457,,C,Bounty Hunters 26 ,2022-08-10,False
1458,3 ABY,VG,Star Wars Outlaws ,2024-08-30,False
1459,,C,Crimson Reign 5 ,2022-06-22,False
1460,,C,Star Wars (2020) 26 ,2022-08-17,False
1461,,C,Star Wars (2020) 27 ,2022-09-07,False
1462,,C,Star Wars (2020) 28 ,2022-10-12,False
1463,,C,Doctor Aphra (2020) 19 ,2022-03-23,False
1464,,C,Doctor Aphra (2020) 20 ,2022-05-18,False
1465,,C,Doctor Aphra (2020) 21 ,2022-06-29,False
1466,,C,Bounty Hunters 27 ,2022-09-14,False
1467,,C,Bounty Hunters 28 ,2022-11-02,False
1468,,C,Doctor Aphra (2020) 22 ,2022-07-27,False
1469,,C,Doctor Aphra (2020) 23 ,2022-08-24,False
1470,,C,Doctor Aphra (2020) 24 ,2022-09-28,False
1471,,C,Doctor Aphra (2020) 25 ,2022-10-26,False
1472,,C,Doctor Aphra (2020) 26 ,2022-11-16,False
1473,,C,Doctor Aphra (2020) 27 ,2022-12-28,False
1474,,C,Hidden Empire 1 ,2022-11-16,False
1475,,C,Revelations (2022) 1 ,2022-11-23,False
1476,,C,Hidden Empire 2 ,2022-12-07,False
1477,,C,Hidden Empire 3 ,2023-02-08,False
1478,,C,Doctor Aphra (2020) 28 ,2023-01-25,False
1479,,C,Doctor Aphra (2020) 29 ,2023-02-22,False
1480,,C,Hidden Empire 4 ,2023-03-01,False
1481,,C,Hidden Empire 5 ,2023-04-05,False
1482,,C,Doctor Aphra (2020) 30 ,2023-04-12,False
1483,,C,Doctor Aphra (2020) 31 ,2023-05-03,False
1484,,C,Sana Starros 1 ,2023-02-01,False
1485,,C,Sana Starros 2 ,2023-03-08,False
1486,,C,Sana Starros 3 ,2023-04-19,False
1487,,C,Sana Starros 4 ,2023-05-31,False
1488,,C,Sana Starros 5 ,2023-06-14,False
1489,,C,Bounty Hunters 29 ,2022-12-14,False
1490,,C,Bounty Hunters 30 ,2023-01-18,False
1491,,C,Bounty Hunters 31 ,2023-02-15,False
1492,,C,Bounty Hunters 32 ,2023-03-08,False
1493,,C,Bounty Hunters 33 ,2023-04-12,False
1494,,C,Bounty Hunters 34 ,2023-05-17,False
1495,,C,Star Wars (2020) 29 ,2022-11-02,False
1496,,C,Star Wars (2020) 30 ,2023-01-04,False
1497,,C,Star Wars (2020) 31 ,2023-02-15,False
1498,,C,Star Wars (2020) 32 ,2023-03-01,False
1499,,C,Star Wars (2020) 33 ,2023-04-05,False
1500,,C,Darth Vader (2020) 29 ,2022-11-30,False
1501,,C,Darth Vader (2020) 30 ,2023-01-11,False
1502,,C,Darth Vader (2020) 31 ,2023-02-08,False
1503,,C,Darth Vader (2020) 32 ,2023-03-22,False
1504,,C,Darth Vader (2020) 33 ,2023-05-03,False
1505,,C,Darth Vader (2020) 34 ,2023-05-10,False
1506,,C,Darth Vader (2020) 35 ,2023-06-14,False
1507,,C,Darth Vader (2020) 36 ,2023-07-12,False
1508,,C,Doctor Aphra (2020) 32 ,2023-05-31,False
1509,,C,Doctor Aphra (2020) 33 ,2023-06-28,False
1510,,C,Doctor Aphra (2020) 34 ,2023-07-19,False
1511,,C,Star Wars (2020) 34 ,2023-05-03,False
1512,,C,Star Wars (2020) 35 ,2023-06-07,False
1513,,C,Bounty Hunters 35 ,2023-06-21,False
1514,,C,Bounty Hunters 36 ,2023-07-12,False
1515,,C,Star Wars (2020) 36 ,2023-07-05,False
1516,,C,"""Return to Echo Base"" — Free Comic Book Day 2024: Star Wars 1 ",2024-05-04,False
1517,,C,"""The Book of Ajax"" — Dark Droids: D-Squad 1 ",2023-09-20,False
1518,,C,Dark Droids 1 ,2023-08-02,False
1519,,C,Star Wars (2020) 37 ,2023-08-09,False
1520,,C,Dark Droids 2 ,2023-09-06,False
1521,,C,Bounty Hunters 37 ,2023-08-30,False
1522,,C,Bounty Hunters 38 ,2023-09-20,False
1523,,C,Bounty Hunters 39 ,2023-10-04,False
1524,,C,Dark Droids 3 ,2023-10-11,False
1525,,C,Doctor Aphra (2020) 35 ,2023-08-23,False
1526,,C,Doctor Aphra (2020) 36 ,2023-09-27,False
1527,,C,Doctor Aphra (2020) 37 ,2023-10-25,False
1528,,C,Darth Vader (2020) 37 ,2023-08-16,False
1529,,C,Darth Vader (2020) 38 ,2023-09-13,False
1530,,C,Darth Vader (2020) 39 ,2023-10-04,False
1531,,C,Dark Droids: D-Squad 1 ,2023-09-20,False
1532,,C,Dark Droids: D-Squad 2 ,2023-10-25,False
1533,,C,Dark Droids: D-Squad 3 ,2023-11-22,False
1534,,C,Dark Droids: D-Squad 4 ,2023-12-06,False
1535,,C,Star Wars (2020) 38 ,2023-09-06,False
1536,,C,Star Wars (2020) 39 ,2023-10-18,False
1537,,C,Dark Droids 4 ,2023-11-15,False
1538,,C,Darth Vader (2020) 40 ,2023-11-08,False
1539,,C,Doctor Aphra (2020) 38 ,2023-11-15,False
1540,,C,Doctor Aphra (2020) 39 ,2023-12-20,False
1541,,C,Bounty Hunters 40 ,2023-11-22,False
1542,,C,Star Wars (2020) 40 ,2023-11-01,False
1543,,C,Darth Vader (2020) 41 ,2023-12-20,False
1544,,C,Dark Droids 5 ,2023-12-27,False
1545,,C,Star Wars (2020) 41 ,2023-12-06,False
1546,,C,Bounty Hunters 41 ,2023-12-13,False
1547,,C,Doctor Aphra (2020) 40 ,2024-01-31,False
1548,,C,Star Wars (2020) 42 ,2024-01-10,False
